captured_kst,language,positive,negative,total,positive_ratio
2026-06-19 21:10:19,tchinese,16,15,31,0.5161
2026-06-19 21:10:19,russian,8,1,9,0.8889
2026-06-19 21:10:19,brazilian,3,0,3,1.0
2026-06-19 21:10:19,thai,3,0,3,1.0
2026-06-19 21:10:19,latam,3,0,3,1.0
2026-06-19 21:10:19,turkish,3,0,3,1.0
2026-06-19 21:10:19,spanish,2,1,3,0.6667
2026-06-19 21:10:19,french,2,0,2,1.0
2026-06-19 21:10:19,ukrainian,2,0,2,1.0
2026-06-19 21:10:19,german,2,0,2,1.0
2026-06-19 21:10:19,vietnamese,0,1,1,0.0
2026-06-19 21:10:19,japanese,1,0,1,1.0
2026-06-19 21:35:05,collected_all,248,102,350,0.7086
2026-06-19 21:35:05,steam_total,249,105,354,0.7034
2026-06-19 21:35:05,deleted_count,,,0,
2026-06-19 21:35:05,schinese,91,70,161,0.5652
2026-06-19 21:35:05,english,70,5,75,0.9333
2026-06-19 21:35:05,koreana,42,9,51,0.8235
2026-06-19 21:35:05,tchinese,16,15,31,0.5161
2026-06-19 21:35:05,russian,8,1,9,0.8889
2026-06-19 21:35:05,brazilian,3,0,3,1.0
2026-06-19 21:35:05,thai,3,0,3,1.0
2026-06-19 21:35:05,latam,3,0,3,1.0
2026-06-19 21:35:05,turkish,3,0,3,1.0
2026-06-19 21:35:05,spanish,2,1,3,0.6667
2026-06-19 21:35:05,french,2,0,2,1.0
2026-06-19 21:35:05,ukrainian,2,0,2,1.0
2026-06-19 21:35:05,german,2,0,2,1.0
2026-06-19 21:35:05,vietnamese,0,1,1,0.0
2026-06-19 21:35:05,japanese,1,0,1,1.0
2026-06-19 22:05:06,collected_all,248,102,350,0.7086
2026-06-19 22:05:06,steam_total,257,103,360,0.7139
2026-06-19 22:05:06,deleted_count,,,0,
2026-06-19 22:05:06,schinese,91,70,161,0.5652
2026-06-19 22:05:06,english,70,5,75,0.9333
2026-06-19 22:05:06,koreana,42,9,51,0.8235
2026-06-19 22:05:06,tchinese,16,15,31,0.5161
2026-06-19 22:05:06,russian,8,1,9,0.8889
2026-06-19 22:05:06,brazilian,3,0,3,1.0
2026-06-19 22:05:06,thai,3,0,3,1.0
2026-06-19 22:05:06,latam,3,0,3,1.0
2026-06-19 22:05:06,turkish,3,0,3,1.0
2026-06-19 22:05:06,spanish,2,1,3,0.6667
2026-06-19 22:05:06,french,2,0,2,1.0
2026-06-19 22:05:06,ukrainian,2,0,2,1.0
2026-06-19 22:05:06,german,2,0,2,1.0
2026-06-19 22:05:06,vietnamese,0,1,1,0.0
2026-06-19 22:05:06,japanese,1,0,1,1.0
2026-06-19 22:35:06,collected_all,260,103,363,0.7163
2026-06-19 22:35:06,steam_total,257,103,360,0.7139
2026-06-19 22:35:06,deleted_count,,,0,
2026-06-19 22:35:06,schinese,97,71,168,0.5774
2026-06-19 22:35:06,english,72,5,77,0.9351
2026-06-19 22:35:06,koreana,45,9,54,0.8333
2026-06-19 22:35:06,tchinese,17,15,32,0.5312
2026-06-19 22:35:06,russian,8,1,9,0.8889
2026-06-19 22:35:06,brazilian,3,0,3,1.0
2026-06-19 22:35:06,thai,3,0,3,1.0
2026-06-19 22:35:06,latam,3,0,3,1.0
2026-06-19 22:35:06,turkish,3,0,3,1.0
2026-06-19 22:35:06,spanish,2,1,3,0.6667
2026-06-19 22:35:06,french,2,0,2,1.0
2026-06-19 22:35:06,ukrainian,2,0,2,1.0
2026-06-19 22:35:06,german,2,0,2,1.0
2026-06-19 22:35:06,vietnamese,0,1,1,0.0
2026-06-19 22:35:06,japanese,1,0,1,1.0
2026-06-19 23:05:06,collected_all,260,103,363,0.7163
2026-06-19 23:05:06,steam_total,268,105,373,0.7185
2026-06-19 23:05:06,deleted_count,,,0,
2026-06-19 23:05:06,schinese,97,71,168,0.5774
2026-06-19 23:05:06,english,72,5,77,0.9351
2026-06-19 23:05:06,koreana,45,9,54,0.8333
2026-06-19 23:05:06,tchinese,17,15,32,0.5312
2026-06-19 23:05:06,russian,8,1,9,0.8889
2026-06-19 23:05:06,brazilian,3,0,3,1.0
2026-06-19 23:05:06,thai,3,0,3,1.0
2026-06-19 23:05:06,latam,3,0,3,1.0
2026-06-19 23:05:06,turkish,3,0,3,1.0
2026-06-19 23:05:06,spanish,2,1,3,0.6667
2026-06-19 23:05:06,french,2,0,2,1.0
2026-06-19 23:05:06,ukrainian,2,0,2,1.0
2026-06-19 23:05:06,german,2,0,2,1.0
2026-06-19 23:05:06,vietnamese,0,1,1,0.0
2026-06-19 23:05:06,japanese,1,0,1,1.0
2026-06-19 23:35:06,collected_all,269,105,374,0.7193
2026-06-19 23:35:06,steam_total,268,105,373,0.7185
2026-06-19 23:35:06,deleted_count,,,0,
2026-06-19 23:35:06,schinese,102,73,175,0.5829
2026-06-19 23:35:06,english,73,5,78,0.9359
2026-06-19 23:35:06,koreana,46,9,55,0.8364
2026-06-19 23:35:06,tchinese,18,15,33,0.5455
2026-06-19 23:35:06,russian,8,1,9,0.8889
2026-06-19 23:35:06,brazilian,3,0,3,1.0
2026-06-19 23:35:06,thai,3,0,3,1.0
2026-06-19 23:35:06,latam,3,0,3,1.0
2026-06-19 23:35:06,turkish,3,0,3,1.0
2026-06-19 23:35:06,spanish,2,1,3,0.6667
2026-06-19 23:35:06,french,2,0,2,1.0
2026-06-19 23:35:06,ukrainian,2,0,2,1.0
2026-06-19 23:35:06,german,2,0,2,1.0
2026-06-19 23:35:06,vietnamese,0,1,1,0.0
2026-06-19 23:35:06,japanese,1,0,1,1.0
2026-06-19 23:35:06,polish,1,0,1,1.0
2026-06-20 00:03:45,collected_all,269,105,374,0.7193
2026-06-20 00:03:45,steam_total,278,108,386,0.7202
2026-06-20 00:03:45,deleted_count,,,0,
2026-06-20 00:03:45,schinese,102,73,175,0.5829
2026-06-20 00:03:45,english,73,5,78,0.9359
2026-06-20 00:03:45,koreana,46,9,55,0.8364
2026-06-20 00:03:45,tchinese,18,15,33,0.5455
2026-06-20 00:03:45,russian,8,1,9,0.8889
2026-06-20 00:03:45,brazilian,3,0,3,1.0
2026-06-20 00:03:45,thai,3,0,3,1.0
2026-06-20 00:03:45,latam,3,0,3,1.0
2026-06-20 00:03:45,turkish,3,0,3,1.0
2026-06-20 00:03:45,spanish,2,1,3,0.6667
2026-06-20 00:03:45,french,2,0,2,1.0
2026-06-20 00:03:45,ukrainian,2,0,2,1.0
2026-06-20 00:03:45,german,2,0,2,1.0
2026-06-20 00:03:45,vietnamese,0,1,1,0.0
2026-06-20 00:03:45,japanese,1,0,1,1.0
2026-06-20 00:03:45,polish,1,0,1,1.0
2026-06-20 00:05:07,collected_all,269,105,374,0.7193
2026-06-20 00:05:07,steam_total,278,108,386,0.7202
2026-06-20 00:05:07,deleted_count,,,0,
2026-06-20 00:05:07,schinese,102,73,175,0.5829
2026-06-20 00:05:07,english,73,5,78,0.9359
2026-06-20 00:05:07,koreana,46,9,55,0.8364
2026-06-20 00:05:07,tchinese,18,15,33,0.5455
2026-06-20 00:05:07,russian,8,1,9,0.8889
2026-06-20 00:05:07,brazilian,3,0,3,1.0
2026-06-20 00:05:07,thai,3,0,3,1.0
2026-06-20 00:05:07,latam,3,0,3,1.0
2026-06-20 00:05:07,turkish,3,0,3,1.0
2026-06-20 00:05:07,spanish,2,1,3,0.6667
2026-06-20 00:05:07,french,2,0,2,1.0
2026-06-20 00:05:07,ukrainian,2,0,2,1.0
2026-06-20 00:05:07,german,2,0,2,1.0
2026-06-20 00:05:07,vietnamese,0,1,1,0.0
2026-06-20 00:05:07,japanese,1,0,1,1.0
2026-06-20 00:05:07,polish,1,0,1,1.0
2026-06-20 00:08:35,collected_all,280,110,390,0.7179
2026-06-20 00:08:35,steam_total,278,108,386,0.7202
2026-06-20 00:08:35,deleted_count,,,0,
2026-06-20 00:08:35,schinese,105,76,181,0.5801
2026-06-20 00:08:35,english,78,5,83,0.9398
2026-06-20 00:08:35,koreana,47,9,56,0.8393
2026-06-20 00:08:35,tchinese,20,17,37,0.5405
2026-06-20 00:08:35,russian,8,1,9,0.8889
2026-06-20 00:08:35,brazilian,3,0,3,1.0
2026-06-20 00:08:35,thai,3,0,3,1.0
2026-06-20 00:08:35,latam,3,0,3,1.0
2026-06-20 00:08:35,turkish,3,0,3,1.0
2026-06-20 00:08:35,spanish,2,1,3,0.6667
2026-06-20 00:08:35,french,2,0,2,1.0
2026-06-20 00:08:35,ukrainian,2,0,2,1.0
2026-06-20 00:08:35,german,2,0,2,1.0
2026-06-20 00:08:35,vietnamese,0,1,1,0.0
2026-06-20 00:08:35,japanese,1,0,1,1.0
2026-06-20 00:08:35,polish,1,0,1,1.0
2026-06-20 00:11:22,collected_all,280,110,390,0.7179
2026-06-20 00:11:22,steam_total,278,108,386,0.7202
2026-06-20 00:11:22,deleted_count,,,0,
2026-06-20 00:11:22,schinese,105,76,181,0.5801
2026-06-20 00:11:22,english,78,5,83,0.9398
2026-06-20 00:11:22,koreana,47,9,56,0.8393
2026-06-20 00:11:22,tchinese,20,17,37,0.5405
2026-06-20 00:11:22,russian,8,1,9,0.8889
2026-06-20 00:11:22,brazilian,3,0,3,1.0
2026-06-20 00:11:22,thai,3,0,3,1.0
2026-06-20 00:11:22,latam,3,0,3,1.0
2026-06-20 00:11:22,turkish,3,0,3,1.0
2026-06-20 00:11:22,spanish,2,1,3,0.6667
2026-06-20 00:11:22,french,2,0,2,1.0
2026-06-20 00:11:22,ukrainian,2,0,2,1.0
2026-06-20 00:11:22,german,2,0,2,1.0
2026-06-20 00:11:22,vietnamese,0,1,1,0.0
2026-06-20 00:11:22,japanese,1,0,1,1.0
2026-06-20 00:11:22,polish,1,0,1,1.0
2026-06-20 00:35:07,collected_all,280,110,390,0.7179
2026-06-20 00:35:07,steam_total,278,108,386,0.7202
2026-06-20 00:35:07,deleted_count,,,0,
2026-06-20 00:35:07,schinese,105,76,181,0.5801
2026-06-20 00:35:07,english,78,5,83,0.9398
2026-06-20 00:35:07,koreana,47,9,56,0.8393
2026-06-20 00:35:07,tchinese,20,17,37,0.5405
2026-06-20 00:35:07,russian,8,1,9,0.8889
2026-06-20 00:35:07,brazilian,3,0,3,1.0
2026-06-20 00:35:07,thai,3,0,3,1.0
2026-06-20 00:35:07,latam,3,0,3,1.0
2026-06-20 00:35:07,turkish,3,0,3,1.0
2026-06-20 00:35:07,spanish,2,1,3,0.6667
2026-06-20 00:35:07,french,2,0,2,1.0
2026-06-20 00:35:07,ukrainian,2,0,2,1.0
2026-06-20 00:35:07,german,2,0,2,1.0
2026-06-20 00:35:07,vietnamese,0,1,1,0.0
2026-06-20 00:35:07,japanese,1,0,1,1.0
2026-06-20 00:35:07,polish,1,0,1,1.0
2026-06-20 01:05:08,collected_all,280,110,390,0.7179
2026-06-20 01:05:08,steam_total,286,112,398,0.7186
2026-06-20 01:05:08,deleted_count,,,0,
2026-06-20 01:05:08,schinese,105,76,181,0.5801
2026-06-20 01:05:08,english,78,5,83,0.9398
2026-06-20 01:05:08,koreana,47,9,56,0.8393
2026-06-20 01:05:08,tchinese,20,17,37,0.5405
2026-06-20 01:05:08,russian,8,1,9,0.8889
2026-06-20 01:05:08,brazilian,3,0,3,1.0
2026-06-20 01:05:08,thai,3,0,3,1.0
2026-06-20 01:05:08,latam,3,0,3,1.0
2026-06-20 01:05:08,turkish,3,0,3,1.0
2026-06-20 01:05:08,spanish,2,1,3,0.6667
2026-06-20 01:05:08,french,2,0,2,1.0
2026-06-20 01:05:08,ukrainian,2,0,2,1.0
2026-06-20 01:05:08,german,2,0,2,1.0
2026-06-20 01:05:08,vietnamese,0,1,1,0.0
2026-06-20 01:05:08,japanese,1,0,1,1.0
2026-06-20 01:05:08,polish,1,0,1,1.0
2026-06-20 01:35:06,collected_all,286,112,398,0.7186
2026-06-20 01:35:06,steam_total,286,112,398,0.7186
2026-06-20 01:35:06,deleted_count,,,0,
2026-06-20 01:35:06,schinese,109,78,187,0.5829
2026-06-20 01:35:06,english,79,5,84,0.9405
2026-06-20 01:35:06,koreana,48,9,57,0.8421
2026-06-20 01:35:06,tchinese,20,17,37,0.5405
2026-06-20 01:35:06,russian,8,1,9,0.8889
2026-06-20 01:35:06,brazilian,3,0,3,1.0
2026-06-20 01:35:06,thai,3,0,3,1.0
2026-06-20 01:35:06,latam,3,0,3,1.0
2026-06-20 01:35:06,turkish,3,0,3,1.0
2026-06-20 01:35:06,spanish,2,1,3,0.6667
2026-06-20 01:35:06,french,2,0,2,1.0
2026-06-20 01:35:06,ukrainian,2,0,2,1.0
2026-06-20 01:35:06,german,2,0,2,1.0
2026-06-20 01:35:06,vietnamese,0,1,1,0.0
2026-06-20 01:35:06,japanese,1,0,1,1.0
2026-06-20 01:35:06,polish,1,0,1,1.0
2026-06-20 02:05:06,collected_all,286,112,398,0.7186
2026-06-20 02:05:06,steam_total,288,115,403,0.7146
2026-06-20 02:05:06,deleted_count,,,0,
2026-06-20 02:05:06,schinese,109,78,187,0.5829
2026-06-20 02:05:06,english,79,5,84,0.9405
2026-06-20 02:05:06,koreana,48,9,57,0.8421
2026-06-20 02:05:06,tchinese,20,17,37,0.5405
2026-06-20 02:05:06,russian,8,1,9,0.8889
2026-06-20 02:05:06,brazilian,3,0,3,1.0
2026-06-20 02:05:06,thai,3,0,3,1.0
2026-06-20 02:05:06,latam,3,0,3,1.0
2026-06-20 02:05:06,turkish,3,0,3,1.0
2026-06-20 02:05:06,spanish,2,1,3,0.6667
2026-06-20 02:05:06,french,2,0,2,1.0
2026-06-20 02:05:06,ukrainian,2,0,2,1.0
2026-06-20 02:05:06,german,2,0,2,1.0
2026-06-20 02:05:06,vietnamese,0,1,1,0.0
2026-06-20 02:05:06,japanese,1,0,1,1.0
2026-06-20 02:05:06,polish,1,0,1,1.0
2026-06-20 02:35:07,collected_all,286,112,398,0.7186
2026-06-20 02:35:07,steam_total,288,115,403,0.7146
2026-06-20 02:35:07,deleted_count,,,0,
2026-06-20 02:35:07,schinese,109,78,187,0.5829
2026-06-20 02:35:07,english,79,5,84,0.9405
2026-06-20 02:35:07,koreana,48,9,57,0.8421
2026-06-20 02:35:07,tchinese,20,17,37,0.5405
2026-06-20 02:35:07,russian,8,1,9,0.8889
2026-06-20 02:35:07,brazilian,3,0,3,1.0
2026-06-20 02:35:07,thai,3,0,3,1.0
2026-06-20 02:35:07,latam,3,0,3,1.0
2026-06-20 02:35:07,turkish,3,0,3,1.0
2026-06-20 02:35:07,spanish,2,1,3,0.6667
2026-06-20 02:35:07,french,2,0,2,1.0
2026-06-20 02:35:07,ukrainian,2,0,2,1.0
2026-06-20 02:35:07,german,2,0,2,1.0
2026-06-20 02:35:07,vietnamese,0,1,1,0.0
2026-06-20 02:35:07,japanese,1,0,1,1.0
2026-06-20 02:35:07,polish,1,0,1,1.0
2026-06-20 03:05:07,collected_all,293,117,410,0.7146
2026-06-20 03:05:07,steam_total,295,118,413,0.7143
2026-06-20 03:05:07,deleted_count,,,0,
2026-06-20 03:05:07,schinese,113,81,194,0.5825
2026-06-20 03:05:07,english,79,5,84,0.9405
2026-06-20 03:05:07,koreana,50,10,60,0.8333
2026-06-20 03:05:07,tchinese,21,18,39,0.5385
2026-06-20 03:05:07,russian,8,1,9,0.8889
2026-06-20 03:05:07,brazilian,3,0,3,1.0
2026-06-20 03:05:07,thai,3,0,3,1.0
2026-06-20 03:05:07,latam,3,0,3,1.0
2026-06-20 03:05:07,turkish,3,0,3,1.0
2026-06-20 03:05:07,spanish,2,1,3,0.6667
2026-06-20 03:05:07,french,2,0,2,1.0
2026-06-20 03:05:07,ukrainian,2,0,2,1.0
2026-06-20 03:05:07,german,2,0,2,1.0
2026-06-20 03:05:07,vietnamese,0,1,1,0.0
2026-06-20 03:05:07,japanese,1,0,1,1.0
2026-06-20 03:05:07,polish,1,0,1,1.0
2026-06-20 03:35:08,collected_all,293,117,410,0.7146
2026-06-20 03:35:08,steam_total,295,118,413,0.7143
2026-06-20 03:35:08,deleted_count,,,0,
2026-06-20 03:35:08,schinese,113,81,194,0.5825
2026-06-20 03:35:08,english,79,5,84,0.9405
2026-06-20 03:35:08,koreana,50,10,60,0.8333
2026-06-20 03:35:08,tchinese,21,18,39,0.5385
2026-06-20 03:35:08,russian,8,1,9,0.8889
2026-06-20 03:35:08,brazilian,3,0,3,1.0
